Year	PM2	PM10	Notes	Notes	Year	City	Country
2014	9	15	"1 station, Background urban"	measured data	2014	CASTRES	France
2014	15	33	"1 station, Background urban"	measured data	2014	CAYENNE	France
2014	12	20	"1 station, Background urban"	measured data	2014	CERGY	France
2014	11	17	"1 station, Background suburban"	measured data	2014	CERISE	France
2014	12	19	"1 station, Background urban"	measured data	2014	CHALONS-EN-CHAMPAGNE	France
2014	13	18	"1 station, Traffic urban"	measured data	2014	CHALON-SUR-SAONE	France
2014	12	19	"1 station, Traffic urban"	measured data	2014	CHAMALIERES	France
2014	15	20	"2 stations, Background urban"	measured data	2014	CHAMBERY	France
2014	11	18	"2 stations, background urban, traffic urban"	measured data	2014	CHAMONIX-MONT-BLANC	France
2014	8	13	"1 station, Background suburban"	measured data	2014	CHAMPFORGEUIL	France
2014	12	20	"1 station, Background urban"	measured data	2014	CHARLEVILLE-MEZIERES	France
2014	16	25	"1 station, Background urban"	measured data	2014	CHATEAUNEUF-LES-MARTIGUES	France
2014	10	16	"1 station, Background urban"	measured data	2014	CHATEAUROUX	France
2014	6	10	"1 station, Industrial suburban"	measured data	2014	CHATENOIS	France
2014	12	19	"1 station, Background urban"	measured data	2014	CHAUNY	France
2014	12	20	"1 station, Background urban"	measured data	2014	CHERBOURG-OCTEVILLE	France
2014	11	18	"1 station, Background urban"	measured data	2014	CHOLET	France
2014	11	17	"3 stations, background urban, traffic, urban"	measured data	2014	CLERMONT-FERRAND	France
2014	11	17	"1 station, Background urban"	measured data	2014	COGNAC	France
2014	12	19	"1 station, Background urban"	measured data	2014	COLMAR	France
2014	17	27	"1 station, Industrial suburban"	measured data	2014	CONTES	France
2014	19	31	"1 station, Traffic urban"	measured data	2014	COULOMMIERS	France
2014	13	20	"1 station, Background urban"	measured data	2014	CREIL	France
2014	12	20	"1 station, Background suburban"	measured data	2014	CROLLES	France
2014	11	18	"1 station, Background suburban"	measured data	2014	DAIX	France
2014	12	17	"1 station, Background urban"	measured data	2014	DAX	France
2014	12	20	"1 station, Background urban"	measured data	2014	DENAIN	France
2014	16	26	"1 station, Traffic urban"	measured data	2014	DIEPPE	France
2014	12	14	"3 stations, background urban, traffic, urban"	measured data	2014	DIJON	France
2014	9	15	"1 station, Background urban"	measured data	2014	DOLE	France
2014	11	17	"1 station, Industrial urban"	measured data	2014	DONGES	France
2014	16	21	"1 station, Background urban"	measured data	2014	DOUAI	France
2014	9	15	"1 station, Background urban"	measured data	2014	DREUX	France
2014	16	23	"3 stations, Background urban"	measured data	2014	DUNKERQUE	France
2014	15	28	"1 station, Traffic urban"	measured data	2014	ECHIROLLES	France
2014	14	22	"1 station, Traffic urban"	measured data	2014	EPERNAY	France
2014	9	15	"1 station, Background urban"	measured data	2014	EPINAL	France
2014	12	19	"1 station, Industrial suburban"	measured data	2014	ESCAUTPONT	France
2014	11	18	"1 station, Background urban"	measured data	2014	EVREUX	France
2014	14	23	"1 station, Industrial suburban"	measured data	2014	FEYZIN	France
2014	11	17	"1 station, Background suburban"	measured data	2014	FLEVILLE-DEVANT-NANCY	France
2014	16	25	"1 station, Industrial suburban"	measured data	2014	FLORANGE	France
2014	12	20	"1 station, Background urban"	measured data	2014	FONTAINE	France
2014	9	14	-	converted from PM2.5	2014	FONTAINEBLEAU	France
2014	16	25	"1 station, Background urban"	measured data	2014	FORBACH	France
2014	10	33	"2 stations, Background urban"	measured data	2014	FORT-DE-FRANCE	France
2014	16	25	"1 station, Background urban"	measured data	2014	FOS-SUR-MER	France
2014	11	17	"1 station, Background rural"	measured data	2014	FREMAINVILLE	France
2014	13	21	"1 station, Industrial suburban"	measured data	2014	FROLOIS	France
2014	10	16	"1 station, Industrial suburban"	measured data	2014	FROSSAY	France
2014	11	18	"1 station, Background urban"	measured data	2014	GAILLARD	France
2014	13	21	"1 station, Industrial suburban"	measured data	2014	GANDRANGE	France
2014	13	21	"2 stations, Background urban"	measured data	2014	GAP	France
2014	14	29	"1 station, Industrial suburban"	measured data	2014	GARDANNE	France
2014	13	21	"1 station, Background suburban"	measured data	2014	GENAS	France
2014	14	22	"1 station, Background urban"	measured data	2014	GENNEVILLIERS	France
2014	14	22	-	converted from PM2.5	2014	GONESSE	France
2014	12	19	"1 station, Industrial urban"	measured data	2014	GRAND-COURONNE	France
2014	17	27	"1 station, Industrial suburban"	measured data	2014	GRANDE-SYNTHE	France
2014	13	21	"1 station, Industrial suburban"	measured data	2014	GRAVELINES	France
2014	12	24	"2 stations, background urban, traffic urban"	measured data	2014	GRENOBLE	France
2014	9	15	"1 station, Background rural"	measured data	2014	GUERET	France
2014	10	13	"1 station, Background rural"	measured data	2014	GUIPRY	France
2014	12	19	"2 stations, Industrial urban"	measured data	2014	HAYANGE	France
2014	14	22	"1 station, Industrial rural"	measured data	2014	HEMING	France
2014	13	21	"1 station, Industrial suburban"	measured data	2014	HORNAING	France
2014	12	19	"1 station, Background urban"	measured data	2014	HYERES	France
2014	12	20	"1 station, Background suburban"	measured data	2014	IFS	France
2014	9	14	"1 station, Background urban"	measured data	2014	ISSOIRE	France
2014	11	10	"1 station, traffic urban"	measured data	2014	ISSOUDUN	France
2014	15	21	"1 station, Background rural"	measured data	2014	JONVILLE-EN-WOEVRE	France
2014	12	19	-	converted from PM2.5	2014	JOUE-LES-TOURS	France
2014	9	14	"1 station, Background rural"	measured data	2014	LA COULONCHE	France
2014	10	16	"1 station, Background suburban"	measured data	2014	LA COURONNE	France
2014	16	25	"1 station, Industrial rural"	measured data	2014	LA LECHERE	France
2014	17	30	"1 station, Traffic urban"	measured data	2014	LA MULATIERE	France
2014	10	24	"5 stations, Background urban"	measured data	2014	LA ROCHELLE	France
2014	12	20	"1 station, Background urban"	measured data	2014	LA ROCHE-SUR-YON	France
2014	11	18	"1 station, Background suburban"	measured data	2014	LA TALAUDIERE	France
2014	10	14	"1 station, Background rural"	measured data	2014	LA TARDIERE	France
2014	11	18	"1 station, Background rural"	measured data	2014	LABASTIDE-CEZERACQ	France
2014	9	14	"1 station, Background urban"	measured data	2014	LAVAL	France
2014	11	18	-	converted from PM2.5	2014	LE CREUSOT	France
2014	13	20	"4 stations, Background urban"	measured data	2014	LE HAVRE	France
2014	17	27	"1 station, Background urban"	measured data	2014	LE LAMENTIN	France
2014	13	17	"1 station, Background urban"	measured data	2014	LE MANS	France
2014	7	12	"1 station, Background suburban"	measured data	2014	LE PALAIS-SUR-VIENNE	France
2014	14	22	"1 station, Background urban"	measured data	2014	LE PETIT-QUEVILLY	France
2014	15	24	"1 station, Background suburban"	measured data	2014	LE PONTET	France
2014	11	18	"1 station, Traffic urban"	measured data	2014	LE PUY-EN-VELAY	France
2014	19	31	"1 station, Traffic urban"	measured data	2014	LE ROBERT	France
2014	4	7	"1 station, Background rural"	measured data	2014	LE TAMPON	France
2014	11	17	"1 station, Background urban"	measured data	2014	LENS	France
2014	14	22	"1 station, Industrial rural"	measured data	2014	LES ABYMES	France
2014	7	11	"1 station, Industrial rural"	measured data	2014	LES ANCIZES-COMPS	France
2014	9	13	"1 station, Background rural"	measured data	2014	LES MAZURES	France
2014	9	15	"1 station, Industrial urban"	measured data	2014	L'HOPITAL	France
2014	17	22	"1 station, Background urban"	measured data	2014	LILLE	France
2014	9	15	"2 stations, background urban, traffic urban"	measured data	2014	LIMOGES	France
2014	11	18	"1 station, Background urban"	measured data	2014	LISIEUX	France
2014	12	20	"1 station, Background suburban"	measured data	2014	LOGNES	France
2014	10	16	"1 station, Background suburban"	measured data	2014	LONGLAVILLE	France
2014	12	22	"1 station, Background urban"	measured data	2014	LONS-LE-SAUNIER	France
2014	11	19	"1 station, Background urban"	measured data	2014	LORIENT	France
2014	10	14	"1 station, Background urban"	measured data	2014	LOURDES	France
2014	11	17	"1 station, Industrial rural"	measured data	2014	LUCCIANA	France
2014	11	16	"1 station, Background urban"	measured data	2014	LUCE	France
2014	10	18	"1 station, Industrial suburban"	measured data	2014	LUNEL-VIEL	France
2014	12	19	-	converted from PM2.5	2014	LUNEVILLE	France
2014	14	22	"2 stations, Background urban"	measured data	2014	LYON	France
2014	9	15	"1 station, Background urban"	measured data	2014	MACON	France
2014	11	18	"1 station, Industrial rural"	measured data	2014	MALROY	France
2014	11	18	"1 station, Background urban"	measured data	2014	MANOSQUE	France
2014	14	22	"1 station, Background urban"	measured data	2014	MARCQ-EN-BAROEUL	France
2014	15	24	"1 station, Background urban"	measured data	2014	MARIGNANE	France
2014	13	22	"1 station, Traffic urban"	measured data	2014	MARMANDE	France
2014	17	29	"3 stations, Background urban"	measured data	2014	MARSEILLE	France
2014	11	18	"1 station, Background urban"	measured data	2014	MARTIGUES	France
2014	13	21	"1 station, Background suburban"	measured data	2014	MATOURY	France
2014	12	19	"1 station, Background urban"	measured data	2014	MAUBEUGE	France
2014	17	27	"1 station, Traffic suburban"	measured data	2014	MELUN	France
2014	12	20	"1 station, Traffic urban"	measured data	2014	MERIGNAC	France
2014	17	22	"3 stations, background urban, traffic, urban"	measured data	2014	METZ	France
2014	16	19	"1 station, Traffic suburban"	measured data	2014	MEZE	France
2014	15	24	"1 station, Background urban"	measured data	2014	MIRAMAS	France
2014	12	20	"1 station, Background suburban"	measured data	2014	MIRIBEL	France
2014	9	15	"1 station, Background rural"	measured data	2014	MONTANDON	France
2014	13	19	"1 station, Background urban"	measured data	2014	MONTBELIARD	France
2014	8	13	"1 station, Background urban"	measured data	2014	MONTCEAU-LES-MINES	France
2014	10	20	"1 station, Traffic urban"	measured data	2014	MONT-DE-MARSAN	France
2014	10	16	"1 station, Traffic urban"	measured data	2014	MONTLUCON	France
2014	16	20	"2 stations, background urban, traffic urban"	measured data	2014	MONTPELLIER	France
2014	12	20	"2 stations, Background urban"	measured data	2014	MULHOUSE	France
2014	12	20	"1 station, Background rural"	measured data	2014	MUNCHHAUSEN	France
2014	14	23	"1 station, Background urban"	measured data	2014	NANCY	France
2014	13	19	"3 stations, Background urban"	measured data	2014	NANTES	France
2014	16	25	"1 station, Background urban"	measured data	2014	NEUVES-MAISONS	France
2014	8	13	"1 station, Background urban"	measured data	2014	NEVERS	France
2014	14	29	"2 stations, Background urban"	measured data	2014	NICE	France
2014	14	21	"2 stations, Background urban"	measured data	2014	NIMES	France
2014	10	20	"2 stations, Background urban"	measured data	2014	NIORT	France
2014	10	17	"2 stations, Background suburban"	measured data	2014	NOEUX-LES-MINES	France
2014	12	20	"1 station, Background urban"	measured data	2014	NOGENT-SUR-MARNE	France
2014	15	24	"1 station, Background suburban"	measured data	2014	NOGENT-SUR-OISE	France
2014	10	16	-	converted from PM2.5	2014	NOTRE-DAME-DE-BLIQUETUIT	France
2014	12	19	"1 station, Traffic urban"	measured data	2014	NUITS-SAINT-GEORGES	France
2014	12	19	"2 stations, background urban, traffic urban"	measured data	2014	ORLEANS	France
2014	13	21	"1 station, Background suburban"	measured data	2014	OUTREAU	France
2014	8	13	"1 station, Background urban"	measured data	2014	OYONNAX	France
2014	22	36	"1 station, Traffic urban"	measured data	2014	PANTIN	France
2014	9	12	"1 station, Background rural"	measured data	2014	PARAY-LE-FRESIL	France
2014	18	28	"8 stations, Background urban"	measured data	2014	PARIS	France
2014	18	29	"1 station, Background urban"	measured data	2014	PASSY	France
2014	14	22	"1 station, Traffic urban"	measured data	2014	PAU	France
2014	17	27	"1 station, Industrial suburban"	measured data	2014	PEILLON	France
2014	10	16	"1 station, Background urban"	measured data	2014	PERIGUEUX	France
2014	10	17	"2 stations, Background urban"	measured data	2014	PERPIGNAN	France
2014	10	15	"1 station, Background rural"	measured data	2014	PEYRUSSE-VIEILLE	France
2014	14	23	"1 station, Background urban"	measured data	2014	POINTE-A-PITRE	France
2014	12	18	"3 stations, background urban, traffic, urban"	measured data	2014	POITIERS	France
2014	11	18	"1 station, Background urban"	measured data	2014	PONT-A-MOUSSON	France
2014	14	22	"1 station, Background urban"	measured data	2014	PORT-DE-BOUC	France
2014	14	22	"1 station, Background suburban"	measured data	2014	PORTES-LES-VALENCE	France
2014	12	20	"1 station, Industrial rural"	measured data	2014	PORT-SAINT-LOUIS-DU-RHONE	France
2014	11	17	"1 station, Background suburban"	measured data	2014	PRUNAY-LE-TEMPLE	France
2014	12	20	"1 station, Background suburban"	measured data	2014	PUSIGNAN	France
2014	12	20	"1 station, Background urban"	measured data	2014	PUTEAUX	France
2014	15	24	"1 station, Traffic urban"	measured data	2014	QUIMPER	France
2014	6	10	"1 station, Background rural"	measured data	2014	RAGEADE	France
2014	13	20	"1 station, Background suburban"	measured data	2014	RAMBOUILLET	France
2014	13	19	"3 stations, background urban, traffic, urban"	measured data	2014	REIMS	France
2014	12	20	"2 stations, background urban, traffic urban"	measured data	2014	RENNES	France
2014	14	23	"1 station, Industrial suburban"	measured data	2014	RIEUX	France
2014	13	21	"1 station, Traffic suburban"	measured data	2014	RIVE-DE-GIER	France
2014	9	15	"1 station, Background urban"	measured data	2014	ROANNE	France
2014	11	16	"1 station, Industrial suburban"	measured data	2014	ROGNAC	France
2014	4	7	"1 station, Background rural"	measured data	2014	ROISEY	France
2014	13	21	"1 station, Background urban"	measured data	2014	ROMANS-SUR-ISERE	France
2014	20	27	"1 station, Traffic urban"	measured data	2014	ROUBAIX	France
2014	13	23	"2 stations, Background urban"	measured data	2014	ROUEN	France
2014	11	18	"1 station, Traffic urban"	measured data	2014	ROUMAZIERES-LOUBERT	France
2014	14	23	"1 station, Background urban"	measured data	2014	ROUSSILLON	France
2014	11	17	"1 station, Industrial rural"	measured data	2014	SAILLAT-SUR-VIENNE	France
2014	12	19	"1 station, Background urban"	measured data	2014	SAINT-BRIEUC	France
2014	5	9	"1 station, Background urban"	measured data	2014	SAINT-BRISSON	France
2014	8	18	"1 station, Background urban"	measured data	2014	SAINT-CHAMOND	France
2014	16	24	"4 stations, background urban, traffic urban"	measured data	2014	SAINT-DENIS	France
2014	12	16	"1 station, Background rural"	measured data	2014	SAINT-DENIS-D'ANJOU	France
2014	11	17	"1 station, Background urban"	measured data	2014	SAINT-DIZIER	France
2014	9	15	"1 station, Background rural"	measured data	2014	SAINTE-MARGUERITE-SUR-MER	France
2014	14	19	"1 station, Background urban"	measured data	2014	SAINTE-SAVINE	France
2014	9	15	"1 station, Industrial suburban"	measured data	2014	SAINTE-SUZANNE	France
2014	11	20	"3 stations, Background suburban"	measured data	2014	SAINT-ETIENNE	France
2014	10	16	"1 station, Industrial suburban"	measured data	2014	SAINT-ETIENNE-DE-MONTLUC	France
2014	14	22	"1 station, Background suburban"	measured data	2014	SAINT-FONS	France
2014	10	16	"1 station, Background suburban"	measured data	2014	SAINT-GELY-DU-FESC	France
2014	7	14	"1 station, Background urban"	measured data	2014	SAINT-GERMAIN-SUR-RHONE	France
2014	14	22	-	converted from PM2.5	2014	SAINT-JEAN-DE-BRAYE	France
2014	8	13	"1 station, Background rural"	measured data	2014	SAINT-JEAN-DE-MAURIENNE	France
2014	4	9	"1 station, Background rural"	measured data	2014	SAINT-JOSEPH	France
2014	10	16	"1 station, Traffic suburban"	measured data	2014	SAINT-JULIEN-LES-METZ	France
2014	12	20	"1 station, Traffic suburban"	measured data	2014	SAINT-JULIEN-MONT-DENIS	France
2014	11	17	"1 station, Background suburban"	measured data	2014	SAINT-JUNIEN	France
2014	12	19	"1 station, Background suburban"	measured data	2014	SAINT-LAURENT-BLANGY	France
2014	12	16	"1 station, Background urban"	measured data	2014	SAINT-LAURENT-DES-ARBRES	France
2014	11	17	"1 station, Background urban"	measured data	2014	SAINT-LO	France
2014	11	17	"1 station, Background urban"	measured data	2014	SAINT-LOUIS	France
2014	13	21	"1 station, Background rural"	measured data	2014	SAINT-MARTIN-D'HERES	France
2014	12	19	-	converted from PM2.5	2014	SAINT-MARTIN-DU-TERTRE	France
2014	7	12	"1 station, Background rural"	measured data	2014	SAINT-MICHEL-L'OBSERVATOIRE	France
2014	10	17	"1 station, Background urban"	measured data	2014	SAINT-NAZAIRE	France
2014	7	10	"1 station, Background rural"	measured data	2014	SAINT-NAZAIRE-LE-DESERT	France
2014	6	16	"3 stations, background urban, traffic, urban"	measured data	2014	SAINT-PAUL	France
2014	9	22	"2 stations, Background urban"	measured data	2014	SAINT-PIERRE	France
2014	14	19	"1 station, Background urban"	measured data	2014	SAINT-QUENTIN	France
2014	15	24	"1 station, Traffic suburban"	measured data	2014	SAINT-REMY-SUR-AVRE	France
2014	16	21	"1 station, Traffic suburban"	measured data	2014	SALAISE-SUR-SANNE	France
2014	14	22	"1 station, Background suburban"	measured data	2014	SALOME	France
2014	12	20	"1 station, Background suburban"	measured data	2014	SALON-DE-PROVENCE	France
2014	12	19	"1 station, Background suburban"	measured data	2014	SALOUEL	France
2014	9	14	"1 station, Industrial rural"	measured data	2014	SARREGUEMINES	France
2014	14	23	"1 station, Industrial rural"	measured data	2014	SARROLA-CARCOPINO	France
2014	18	29	"1 station, Background urban"	measured data	2014	SCHOELCHER	France
2014	16	25	"1 station, Background suburban"	measured data	2014	SCHOENECK	France
2014	9	15	"1 station, Background urban"	measured data	2014	SENS	France
2014	16	25	"4 stations, background urban, traffic urban"	measured data	2014	STRASBOURG	France
2014	13	19	"1 station, Background urban"	measured data	2014	TALENCE	France
2014	12	19	"1 station, Background urban"	measured data	2014	TARBES	France
2014	12	20	"1 station, Industrial rural"	measured data	2014	TARTAS	France
2014	13	21	"1 station, Background suburban"	measured data	2014	TERNAY	France
2014	17	20	"2 stations, Background urban"	measured data	2014	THIONVILLE	France
2014	10	24	"2 stations, Background urban"	measured data	2014	TOULON	France
2014	12	19	"6 stations, Background urban"	measured data	2014	TOULOUSE	France
2014	15	24	"1 station, Background urban"	measured data	2014	TOURCOING	France
2014	12	19	"2 stations, Background urban"	measured data	2014	TOURS	France
2014	14	22	"1 station, Background suburban"	measured data	2014	TREMBLAY-EN-FRANCE	France
2014	12	20	"1 station, Background urban"	measured data	2014	TROYES	France
2014	9	16	"1 station, Background urban"	measured data	2014	TULLE	France
2014	11	17	"1 station, Background rural"	measured data	2014	VAL-DE-REUIL	France
2014	14	19	"1 station, Background urban"	measured data	2014	VALENCE	France
2014	16	23	"2 stations, Background urban"	measured data	2014	VALENCIENNES	France
2014	9	14	"1 station, Background urban"	measured data	2014	VANNES	France
2014	13	21	"1 station, Background urban"	measured data	2014	VAULX-EN-VELIN	France
2014	7	12	"1 station, Background rural"	measured data	2014	VENACO	France
2014	9	14	-	converted from PM2.5	2014	VERNEUIL	France
2014	9	14	"1 station, Background urban"	measured data	2014	VESOUL	France
2014	14	24	"1 station, Background urban"	measured data	2014	VIENNE	France
2014	10	16	"1 station, Background urban"	measured data	2014	VIERZON	France
2014	11	17	"1 station, Background suburban"	measured data	2014	VIF	France
2014	11	18	"1 station, Background suburban"	measured data	2014	VILLAGE-NEUF	France
2014	13	21	"1 station, Background urban"	measured data	2014	VILLEFRANCHE-SUR-SAONE	France
2014	11	18	"1 station, Background urban"	measured data	2014	VILLEMANDEUR	France
2014	18	30	"2 stations, Traffic urban"	measured data	2014	VILLEURBANNE	France
2014	7	12	"1 station, Background rural"	measured data	2014	VILLIERS-EN-BOIS	France
2014	13	20	"1 station, Background urban"	measured data	2014	VITRY-SUR-SEINE	France
2014	11	18	"1 station, Background suburban"	measured data	2014	VITTEL	France
2014	13	21	"1 station, Background urban"	measured data	2014	VOIRON	France
2014	8	13	"1 station, Background rural"	measured data	2014	VOLMUNSTER	France
2014	12	19	"1 station, Industrial suburban"	measured data	2014	WINGLES	France
2014	15	28	"1 station, NA"	measured data	2014	Abastumani	Georgia
2014	29	55	"1 station, background, urban"	measured data	2014	Tbilisi	Georgia
2013	13	18	"1 station, background, urban"	measured data	2013	AACHEN	Germany
2013	12	18	"1 station, background, suburban"	measured data	2013	AALEN	Germany
2013	14	21	"1 station, background, urban"	measured data	2013	ALTENBURG	Germany
2013	14	20	"1 station, background, urban"	measured data	2013	ANNABERG-BUCHHOLZ	Germany
2013	16	23	"1 station, traffic, urban"	measured data	2013	ANSBACH	Germany
2013	15	22	-	converted from PM2.5	2013	ARZBERG	Germany
2013	13	19	-	converted from PM2.5	2013	ASCHAFFENBURG	Germany
2013	15	23	"2 stations, background suburban, traffic, urban"	measured data	2013	AUGSBURG	Germany
2013	13	16	"1 station, background, rural"	measured data	2013	BAD AROLSEN/KOHLGRUND	Germany
2013	11	15	"1 station, background, suburban"	measured data	2013	BADEN-BADEN	Germany
2013	13	18	"1 station, background, urban"	measured data	2013	BAMBERG	Germany
2013	15	22	"1 station, background, urban"	measured data	2013	BAUTZEN	Germany
2013	14	20	"1 station, background, urban"	measured data	2013	BEBRA	Germany
2013	16	24	"8 stations, background, urban"	measured data	2013	BERLIN	Germany
2013	14	21	"1 station, background, suburban"	measured data	2013	BERNBURG	Germany
2013	14	20	"1 station, background, suburban"	measured data	2013	BERNHAUSEN	Germany
2013	12	17	"1 station, background, suburban"	measured data	2013	BIBERACH	Germany
2013	14	20	"1 station, background, urban"	measured data	2013	BIELEFELD	Germany
2013	10	15	"1 station, background, suburban"	measured data	2013	BITTERFELD	Germany
2013	14	21	"1 station, background, suburban"	measured data	2013	BONN	Germany
2013	15	22	"1 station, background, rural-nearcity"	measured data	2013	BORKEN	Germany
2013	16	23	"1 station, traffic, urban"	measured data	2013	BORNA	Germany
2013	16	23	"1 station, industrial, urban"	measured data	2013	BOTTROP	Germany
2013	13	20	"3 stations, background, urban"	measured data	2013	BREMEN	Germany
2013	13	21	"1 station, industrial, suburban"	measured data	2013	BRUNBüTTEL	Germany
2013	13	18	"1 station, background, rural-regional"	measured data	2013	BUCKOW	Germany
2013	16	20	"1 station, background, suburban"	measured data	2013	BURGHAUSEN	Germany
2013	9	12	"1 station, background, rural-remote"	measured data	2013	CARLSFELD	Germany
2013	14	20	"1 station, background, urban"	measured data	2013	CHEMNITZ	Germany
2013	13	19	-	converted from PM2.5	2013	COBURG	Germany
2013	11	16	"1 station, background, rural-remote"	measured data	2013	COLLM	Germany
2013	17	24	"1 station, traffic, urban"	measured data	2013	COTTBUS	Germany
2013	16	22	"2 stations, background, urban"	measured data	2013	DARMSTADT	Germany
2013	17	20	"1 station, traffic, urban"	measured data	2013	DATTELN	Germany
2013	15	21	"1 station, traffic, urban"	measured data	2013	DESSAU	Germany
2013	13	18	"1 station, background, urban"	measured data	2013	DILLINGEN	Germany
2013	16	24	"1 station, background, urban"	measured data	2013	DORTMUND	Germany
2013	12	17	"1 station, background, rural-regional"	measured data	2013	DREIssIGACKER	Germany
2013	17	27	"1 station, traffic, urban"	measured data	2013	DRESDEN	Germany
2013	16	23	"2 stations, background suburban, industrial, urban"	measured data	2013	DUISBURG	Germany
2013	10	15	"1 station, background, rural"	measured data	2013	DUNZWEILER	Germany
2013	15	26	"2 stations, background, urban"	measured data	2013	DüSSELDORF	Germany
2013	15	20	"1 station, industrial, suburban"	measured data	2013	EISENHüTTENSTADT	Germany
2013	15	22	"2 stations, background, urban"	measured data	2013	ERFURT	Germany
2013	9	13	"1 station, background, rural-regional"	measured data	2013	ERPFINGEN	Germany
2013	18	24	"2 stations, background, urban"	measured data	2013	ESSEN	Germany
2013	13	21	"1 station, traffic, urban"	measured data	2013	FLENSBURG	Germany
2013	18	27	"2 stations, traffic, urban"	measured data	2013	FRANKFURT	Germany
2013	16	22	"2 stations, background, urban"	measured data	2013	FRANKFURT A. MAIN	Germany
2013	15	21	"1 station, background, urban"	measured data	2013	FREIBERG	Germany
2013	13	16	"1 station, background, urban"	measured data	2013	FREIBURG	Germany
2013	13	19	"1 station, background, urban"	measured data	2013	FRIEDRICHSHAFEN	Germany
2013	10	14	"1 station, background, rural"	measured data	2013	FüRTH/ODENWALD	Germany
2013	8	10	"1 station, background, rural"	measured data	2013	GEHLBERG	Germany
2013	18	25	-	converted from PM2.5	2013	GELSENKIRCHEN	Germany
2013	14	20	"1 station, background, urban"	measured data	2013	GERA	Germany
2013	15	21	"1 station, background, urban"	measured data	2013	GLAUCHAU	Germany
2013	11	13	"1 station, background, suburban"	measured data	2013	GOETTINGEN	Germany
2013	11	15	"1 station, background, rural"	measured data	2013	GöHLEN	Germany
2013	18	26	"1 station, traffic, urban"	measured data	2013	GöRLITZ	Germany
2013	14	21	"6 stations, background, urban"	measured data	2013	HAMBURG	Germany
2013	15	22	"1 station, background, urban"	measured data	2013	HANAU	Germany
2013	14	20	"1 station, background, suburban"	measured data	2013	HATTINGEN	Germany
2013	14	20	"1 station, background, urban"	measured data	2013	HEIDELBERG	Germany
2013	9	13	"1 station, background, rural"	measured data	2013	HERDORF	Germany
2013	8	12	"1 station, background, rural"	measured data	2013	HORTENKOPF	Germany
2013	17	24	"1 station, industrial, suburban"	measured data	2013	HüRTH	Germany
2013	16	22	"1 station, traffic, urban"	measured data	2013	INGOLSTADT	Germany
2013	13	18	"1 station, background, urban"	measured data	2013	KAISERSLAUTERN	Germany
2013	14	19	"1 station, background, urban"	measured data	2013	KARLSRUHE	Germany
2013	14	24	"2 stations, background, urban"	measured data	2013	KASSEL	Germany
2013	15	20	"1 station, industrial, suburban"	measured data	2013	KEHL	Germany
2013	13	19	"1 station, traffic, urban"	measured data	2013	KEHLHEIM	Germany
2013	12	17	"1 station, background, suburban"	measured data	2013	KEMPTEN (Allgäu)	Germany
2013	14	20	-	converted from PM2.5	2013	KLEINWALLSTADT	Germany
2013	11	16	"1 station, background, urban"	measured data	2013	KLINGENTAL	Germany
2013	14	21	-	converted from PM2.5	2013	KOBLENZ	Germany
2013	17	24	"3 stations, background, urban"	measured data	2013	KöLN	Germany
2013	13	19	"1 station, background, urban"	measured data	2013	KONSTANZ	Germany
2013	17	25	"1 station, background, urban"	measured data	2013	KREFELD	Germany
2013	14	20	"1 station, background, urban"	measured data	2013	KULMBACH	Germany
2013	16	22	"1 station, traffic, urban"	measured data	2013	LANDSHUT	Germany
2013	8	11	"1 station, background, rural"	measured data	2013	LEISEL	Germany
2013	13	19	"1 station, background, suburban"	measured data	2013	LEUNA	Germany
2013	14	20	"1 station, background, suburban"	measured data	2013	LEVERKUSEN	Germany
2013	14	20	"1 station, background, urban"	measured data	2013	LIMBURG	Germany
2013	15	22	"1 station, traffic, urban"	measured data	2013	LINDAU (BODENSEE)	Germany
2013	12	18	"1 station, background, urban"	measured data	2013	LüBECK	Germany
2013	13	19	"1 station, background, suburban"	measured data	2013	LUDWIGSBURG	Germany
2013	15	22	"3 stations, background, urban"	measured data	2013	LUDWIGSHAFEN	Germany
2013	17	24	"1 station, background, suburban"	measured data	2013	LüNEN	Germany
2013	15	21	"3 stations, background, urban"	measured data	2013	MAINZ	Germany
2013	15	22	"3 stations, background urban, traffic urban, industrial, suburban"	measured data	2013	MANNHEIM	Germany
2013	13	19	"1 station, background, urban"	measured data	2013	MARBURG	Germany
2013	12	18	"1 station, background, rural"	measured data	2013	MEWEGEN	Germany
2013	12	18	"1 station, background, urban"	measured data	2013	MICHAELSTADT	Germany
2013	15	21	"1 station, background, suburban"	measured data	2013	MöNCHENGLADBACH	Germany
2013	15	21	"1 station, background, urban"	measured data	2013	MüLHEIM	Germany
2013	15	21	"3 stations, background suburban, traffic, urban"	measured data	2013	MüNCHEN	Germany
2013	15	22	"1 station, background, urban"	measured data	2013	MüNSTER	Germany
2013	15	22	"1 station, background, rural-nearcity"	measured data	2013	NETTETAL	Germany
2013	14	20	"1 station, traffic, urban"	measured data	2013	NEUBRANDENBURG	Germany
2013	13	19	"1 station, background, suburban"	measured data	2013	NEUENBURG	Germany
2013	10	14	"1 station, background, rural-regional"	measured data	2013	NEUGLOBSOW	Germany
2013	10	14	"1 station, background, suburban"	measured data	2013	NEUHAUSEN	Germany
2013	12	18	"1 station, background, suburban"	measured data	2013	NEURUPPIN	Germany
2013	11	16	-	converted from PM2.5	2013	NEUSTADT	Germany
